subID,condition,session
M00413068,rest,1
M00413068,rest,2
M00413068,inscapes,1
M00413068,inscapes,2
M00413068,movie,1
M00413068,movie,2
M00413068,flanker,1
M00413068,flanker,2
M00416789,rest,1
M00416789,rest,2
M00416789,inscapes,1
M00416789,inscapes,2
M00416789,movie,1
M00416789,movie,2
M00416789,flanker,1
M00416789,flanker,2
M00440730,rest,1
M00440730,rest,2
M00440730,inscapes,1
M00440730,inscapes,2
M00440730,movie,1
M00440730,movie,2
M00440730,flanker,1
M00440730,flanker,2
M00464207,rest,1
M00464207,rest,2
M00464207,inscapes,1
M00464207,inscapes,2
M00464207,movie,1
M00464207,movie,2
M00464207,flanker,1
M00464207,flanker,2
M00467603,rest,1
M00467603,rest,2
M00467603,inscapes,1
M00467603,inscapes,2
M00467603,movie,1
M00467603,movie,2
M00467603,flanker,1
M00467603,flanker,2
M00472509,rest,1
M00472509,rest,2
M00472509,inscapes,1
M00472509,inscapes,2
M00472509,movie,1
M00472509,movie,2
M00472509,flanker,1
M00472509,flanker,2
M00477296,rest,1
M00477296,rest,2
M00477296,inscapes,1
M00477296,inscapes,2
M00477296,movie,1
M00477296,movie,2
M00477296,flanker,1
M00477296,flanker,2
M00489505,rest,1
M00489505,rest,2
M00489505,inscapes,1
M00489505,inscapes,2
M00489505,movie,1
M00489505,movie,2
M00489505,flanker,1
M00489505,flanker,2
M00499588,rest,1
M00499588,rest,2
M00499588,inscapes,1
M00499588,inscapes,2
M00499588,movie,1
M00499588,movie,2
M00499588,flanker,1
M00499588,flanker,2
M00400491,rest,1
M00400491,rest,2
M00400491,inscapes,1
M00400491,inscapes,2
M00400491,movie,1
M00400491,movie,2
M00400491,flanker,1
M00400491,flanker,2
